roll,pitch,heading,in_motion,is_rotating,Computer,Pillow,Plant,Hat,Nothing
-1.2,2.34,-4.43,0,1,0,0,0,0,1
-1.11,3.62,-4.07,0,1,0,0,0,0,1
-1.88,5.08,-4.61,0,1,0,0,0,0,1
-3.23,6.08,-5.16,0,1,0,0,0,0,1
-4.54,6.19,-6.73,0,1,0,0,0,0,1
-4.56,5.77,-6.45,0,1,0,0,0,0,1
-4.15,4.62,-6.15,0,1,0,0,0,0,1
-2.96,3.19,-5.17,0,1,0,0,0,0,1
-1.63,1.71,-3.97,0,1,0,0,0,0,1
-0.41,1.43,-3.13,0,1,0,0,0,0,1
0.54,2.37,-2.69,0,1,0,0,0,0,1
0.52,3.84,-2.81,0,1,0,0,0,0,1
0.16,4.84,-2.65,0,1,0,0,0,0,1
-0.14,5.21,-2.84,0,1,0,0,0,0,1
-0.72,4.98,-3.09,0,1,0,0,0,0,1
-1.72,4.25,-3.69,0,1,0,0,0,0,1
-2.43,3.42,-3.75,0,1,0,0,0,0,1
-2.46,2.7,-3.6,0,1,0,0,0,0,1
-1.76,2.42,-3.37,0,1,0,0,0,0,1
-1.37,2.85,-3.31,0,1,0,0,0,0,1
-1.45,3.72,-1.62,0,0,0,0,0,0,1
-1.7,4.49,0.69,0,1,0,0,0,0,1
-1.56,4.82,1.05,0,1,0,0,0,0,1
-1.42,4.67,1.26,0,1,0,0,0,0,1
-1.18,4.38,-1.12,0,0,0,0,0,0,1
-1.23,3.95,-1.07,0,1,0,0,0,0,1
-1.38,3.4,-1.91,0,0,0,0,0,0,1
-1.48,2.73,-2.89,0,0,0,0,0,0,1
-1.39,2.16,-2.36,0,0,0,0,0,0,1
-1.16,2.25,-3.02,0,0,0,0,0,0,1
-1.28,3.0,-2.26,0,0,1,0,0,0,0
-1.39,3.9,-2.01,0,0,1,0,0,0,0
-1.58,4.19,-1.11,0,0,1,0,0,0,0
-1.47,4.21,-1.03,0,0,1,0,0,0,0
-1.34,4.13,-0.97,0,1,1,0,0,0,0
-1.02,3.99,-1.04,0,1,1,0,0,0,0
-0.99,3.72,-0.89,0,1,1,0,0,0,0
-1.08,3.5,-1.3,0,1,1,0,0,0,0
-1.34,3.32,-2.16,0,0,1,0,0,0,0
-1.55,3.25,-2.14,0,0,1,0,0,0,0
-1.53,3.17,-2.67,0,0,1,0,0,0,0
-1.54,3.05,-1.68,0,0,1,0,0,0,0
-1.44,2.82,-1.3,0,1,1,0,0,0,0
-1.15,2.66,-1.71,0,0,1,0,0,0,0
-1.05,2.59,-1.4,0,0,1,0,0,0,0
-1.15,2.7,-1.78,0,0,1,0,0,0,0
-1.31,2.99,-2.01,0,0,1,0,0,0,0
-1.23,3.22,-1.55,0,0,1,0,0,0,0
-1.21,3.28,-1.45,0,0,1,0,0,0,0
-1.01,3.21,-2.32,0,0,1,0,0,0,0
-0.89,3.13,-1.95,0,0,1,0,0,0,0
-0.8,3.11,-1.91,0,0,1,0,0,0,0
-0.86,3.03,-2.24,0,0,1,0,0,0,0
-1.16,2.9,-1.98,0,0,1,0,0,0,0
-1.42,2.85,-1.74,0,0,1,0,0,0,0
-1.4,2.97,-1.64,0,0,1,0,0,0,0
-1.25,3.13,-2.06,0,0,1,0,0,0,0
-1.06,3.23,-1.89,0,0,1,0,0,0,0
-0.8,3.34,-1.45,0,0,1,0,0,0,0
-1.05,3.41,-2.07,0,0,1,0,0,0,0
-1.07,3.48,-2.43,0,0,1,0,0,0,0
-1.21,3.45,-2.67,0,0,1,0,0,0,0
-0.92,3.4,-2.02,0,0,1,0,0,0,0
-0.91,3.35,-2.06,0,0,1,0,0,0,0
-0.91,3.42,-2.14,0,0,1,0,0,0,0
-0.98,3.53,-1.87,0,0,1,0,0,0,0
-1.1,3.6,-1.59,0,0,1,0,0,0,0
-1.27,3.61,-1.57,0,0,1,0,0,0,0
-1.37,3.54,-1.82,0,0,1,0,0,0,0
-1.34,3.42,-1.91,0,0,1,0,0,0,0
-1.21,3.36,-2.26,0,0,1,0,0,0,0
-1.22,3.31,-2.91,0,0,1,0,0,0,0
-1.25,3.21,-2.96,0,0,1,0,0,0,0
-1.3,3.17,-2.6,0,0,1,0,0,0,0
-1.37,3.08,-2.95,0,0,1,0,0,0,0
-0.97,3.03,-3.08,0,0,1,0,0,0,0
-0.63,3.06,-2.14,0,0,1,0,0,0,0
-0.78,2.94,-3.06,0,0,1,0,0,0,0
-0.88,2.14,-3.12,0,0,1,0,0,0,0
0.02,1.16,-3.65,0,0,1,0,0,0,0
0.66,0.43,-3.76,0,0,1,0,0,0,0
1.28,-0.33,-3.07,0,0,1,0,0,0,0
1.6,-1.13,-3.12,0,1,1,0,0,0,0
2.64,-2.02,-4.21,0,0,1,0,0,0,0
3.54,-2.86,-3.88,0,0,1,0,0,0,0
4.38,-3.83,-3.46,0,0,1,0,0,0,0
4.97,-4.94,-3.15,0,0,1,0,0,0,0
5.71,-5.9,-3.18,0,0,1,0,0,0,0
6.51,-6.78,-3.62,0,0,1,0,0,0,0
7.63,-7.52,-2.24,0,0,1,0,0,0,0
8.53,-8.2,-2.49,0,0,1,0,0,0,0
9.29,-8.74,-0.75,0,0,1,0,0,0,0
10.08,-9.16,0.24,0,0,1,0,0,0,0
10.76,-9.5,0.57,0,0,1,0,0,0,0
11.34,-9.81,0.05,0,0,1,0,0,0,0
11.93,-10.15,0.04,0,1,1,0,0,0,0
12.38,-10.37,0.78,0,1,1,0,0,0,0
12.67,-10.5,1.74,0,0,1,0,0,0,0
12.68,-10.51,0.51,0,0,1,0,0,0,0
12.33,-10.65,0.02,0,1,1,0,0,0,0
12.54,-10.78,0.76,0,0,1,0,0,0,0
13.24,-10.8,1.08,0,1,1,0,0,0,0
13.83,-10.84,1.39,0,1,1,0,0,0,0
14.15,-10.88,1.51,0,1,1,0,0,0,0
14.31,-10.94,1.57,0,1,1,0,0,0,0
14.57,-10.94,1.5,0,1,1,0,0,0,0
15.16,-10.91,1.24,0,1,1,0,0,0,0
16.72,-10.67,1.19,0,1,1,0,0,0,0
16.12,-10.73,0.52,0,1,1,0,0,0,0
14.74,-10.67,-0.44,0,1,1,0,0,0,0
12.43,-10.83,-2.4,0,0,1,0,0,0,0
10.33,-10.69,-2.1,0,1,1,0,0,0,0
7.73,-11.08,-5.28,0,1,1,0,0,0,0
4.56,-11.66,-8.57,0,0,1,0,0,0,0
-6.94,-10.47,-10.39,0,1,1,0,0,0,0
-5.7,-9.76,-7.68,0,1,1,0,0,0,0
-4.35,-8.7,-4.83,0,1,1,0,0,0,0
-3.6,-7.47,-2.45,0,1,1,0,0,0,0
-3.4,-6.02,-0.21,0,1,1,0,0,0,0
-4.53,-4.81,-0.1,0,1,1,0,0,0,0
-3.37,-3.47,0.97,0,1,1,0,0,0,0
-1.09,-1.84,3.5,0,1,1,0,0,0,0
0.79,-0.62,5.67,0,1,1,0,0,0,0
2.05,0.08,6.78,0,1,1,0,0,0,0
1.34,0.01,6.78,0,1,1,0,0,0,0
0.14,-0.25,5.55,0,1,1,0,0,0,0
-0.83,-0.33,4.27,0,1,1,0,0,0,0
-1.31,-0.38,3.2,0,1,1,0,0,0,0
-1.44,-0.31,2.8,0,1,1,0,0,0,0
-1.41,-0.15,1.86,0,1,1,0,0,0,0
-1.11,-0.05,1.62,0,1,1,0,0,0,0
-1.1,-0.37,1.87,0,1,1,0,0,0,0
-1.41,-0.92,1.04,0,1,1,0,0,0,0
-1.52,-1.1,0.5,0,1,1,0,0,0,0
-0.7,-1.06,0.18,0,1,1,0,0,0,0
-0.02,-2.37,0.01,0,1,1,0,0,0,0
-0.58,-3.93,0.87,0,1,1,0,0,0,0
-0.6,-4.43,0.82,0,1,1,0,0,0,0
-1.14,-3.94,0.11,0,1,1,0,0,0,0
-1.96,-3.91,-0.93,0,1,1,0,0,0,0
-1.89,-4.64,-0.69,0,1,1,0,0,0,0
-2.13,-5.69,-1.07,0,1,1,0,0,0,0
-1.98,-6.32,-1.55,0,1,1,0,0,0,0
-1.4,-6.32,-1.71,0,1,1,0,0,0,0
-0.54,-6.08,-0.99,0,1,1,0,0,0,0
-0.11,-5.78,-0.71,0,1,1,0,0,0,0
-0.1,-5.76,-0.72,0,1,1,0,0,0,0
-0.11,-5.58,-0.76,0,1,1,0,0,0,0
0.19,-5.22,-0.36,0,1,1,0,0,0,0
-0.15,-4.91,-1.53,0,0,1,0,0,0,0
-0.54,-4.72,-2.46,0,0,1,0,0,0,0
-0.76,-5.15,-3.09,0,0,1,0,0,0,0
-1.03,-5.96,-3.61,0,1,1,0,0,0,0
-1.53,-6.76,-4.32,0,1,1,0,0,0,0
-2.37,-7.3,-4.84,0,1,1,0,0,0,0
-2.88,-7.59,-5.64,0,1,1,0,0,0,0
-3.08,-7.94,-6.25,0,1,1,0,0,0,0
-2.96,-8.14,-6.4,0,1,1,0,0,0,0
-2.43,-8.23,-6.4,0,1,1,0,0,0,0
-2.39,-8.2,-6.55,0,1,1,0,0,0,0
-2.54,-8.23,-6.58,0,1,1,0,0,0,0
-2.25,-8.42,-6.4,0,1,1,0,0,0,0
-2.37,-8.6,-6.2,0,1,1,0,0,0,0
-2.44,-8.59,-6.77,0,1,1,0,0,0,0
-2.42,-8.43,-6.26,0,1,1,0,0,0,0
-2.17,-8.33,-6.22,0,1,1,0,0,0,0
-2.09,-8.39,-6.22,0,1,1,0,0,0,0
-2.06,-8.45,-6.29,0,1,1,0,0,0,0
-2.26,-8.14,-5.79,0,1,1,0,0,0,0
-2.31,-7.35,-5.8,0,1,1,0,0,0,0
-2.76,-6.96,-6.94,0,1,1,0,0,0,0
-5.11,-7.85,-7.65,0,1,1,0,0,0,0
-4.86,-9.71,-7.57,0,1,1,0,0,0,0
-2.46,-10.55,-7.52,0,1,1,0,0,0,0
-0.21,-9.72,-6.88,0,1,1,0,0,0,0
0.59,-8.07,-5.79,0,1,1,0,0,0,0
0.2,-6.87,-5.13,0,1,1,0,0,0,0
0.16,-6.03,-5.3,0,1,1,0,0,0,0
-0.46,-5.43,-5.19,0,1,1,0,0,0,0
-0.81,-4.83,-4.51,0,1,1,0,0,0,0
-1.22,-4.42,-4.09,0,1,1,0,0,0,0
-1.29,-3.97,-4.22,0,1,1,0,0,0,0
-1.3,-3.39,-5.45,0,0,1,0,0,0,0
-1.13,-3.15,-5.36,0,0,1,0,0,0,0
-1.06,-3.03,-5.15,0,0,1,0,0,0,0
-1.18,-3.06,-6.03,0,0,1,0,0,0,0
-0.73,-3.24,-4.66,0,0,1,0,0,0,0
-0.87,-3.2,-4.9,0,0,1,0,0,0,0
-0.86,-2.75,-5.41,0,0,1,0,0,0,0
0.11,-2.73,-5.33,0,1,1,0,0,0,0
0.77,-2.96,-4.53,0,0,1,0,0,0,0
0.95,-3.22,-3.84,0,1,1,0,0,0,0
0.64,-3.32,-3.57,0,1,1,0,0,0,0
-0.05,-2.99,-3.86,0,0,1,0,0,0,0
-0.7,-2.69,-4.23,0,1,1,0,0,0,0
-0.76,-2.61,-5.25,0,0,1,0,0,0,0
-0.38,-2.76,-4.94,0,0,1,0,0,0,0
0.09,-2.91,-5.07,0,0,1,0,0,0,0
-0.11,-2.93,-5.38,0,0,1,0,0,0,0
-0.44,-2.93,-4.86,0,0,1,0,0,0,0
-0.59,-2.9,-4.92,0,0,1,0,0,0,0
-0.34,-2.89,-5.18,0,1,1,0,0,0,0
-0.14,-2.32,-5.33,0,1,1,0,0,0,0
0.42,-1.92,-4.71,0,1,1,0,0,0,0
0.47,-1.95,-4.81,0,1,1,0,0,0,0
0.61,-1.93,-4.47,0,1,1,0,0,0,0
0.64,-0.73,-3.73,0,1,1,0,0,0,0
0.61,1.37,-3.55,0,0,1,0,0,0,0
0.62,3.26,-4.21,0,0,1,0,0,0,0
0.0,4.24,-4.38,0,1,1,0,0,0,0
0.05,3.83,-3.64,0,0,1,0,0,0,0
-0.48,2.82,-5.48,0,0,1,0,0,0,0
-1.62,1.29,-4.4,0,0,1,0,0,0,0
-2.51,1.05,-5.06,0,0,1,0,0,0,0
-3.06,1.73,-7.79,0,0,1,0,0,0,0
-3.0,1.62,-6.74,0,0,1,0,0,0,0
-2.34,1.28,-6.29,0,0,1,0,0,0,0
-1.14,1.44,-4.77,0,0,1,0,0,0,0
