roll,pitch,heading,in_motion,is_rotating,Computer,Pillow,Plant,Hat,Nothing
-4.03,2.05,-0.91,0,1,0,0,0,0,1
-3.98,2.07,-1.81,0,0,0,0,0,0,1
-4.0,2.13,-2.55,0,0,0,0,0,0,1
-4.19,2.21,-2.43,0,0,0,0,0,0,1
-4.45,2.21,-2.75,0,0,0,0,0,0,1
-4.6,2.12,-2.69,0,0,0,0,0,0,1
-4.5,2.04,-2.49,0,0,0,0,0,0,1
-4.61,2.12,-3.31,0,0,0,0,0,0,1
-4.4,2.19,-3.31,0,0,0,0,0,0,1
-4.24,2.01,-2.32,0,0,0,0,0,0,1
-3.87,1.86,-1.86,0,0,0,0,0,0,1
-4.04,1.9,-1.89,0,0,0,0,0,0,1
-4.15,1.78,-2.21,0,0,0,0,0,0,1
-4.33,1.72,-2.26,0,0,0,0,0,0,1
-4.26,1.55,-1.91,0,0,0,0,0,0,1
-4.07,1.64,-1.59,0,0,0,0,0,0,1
-4.2,1.38,-2.16,0,0,0,0,0,0,1
-4.33,2.83,-4.61,0,0,0,0,0,0,1
-4.36,5.37,-3.08,0,0,0,0,0,0,1
-4.32,7.78,-2.57,0,1,0,0,0,0,1
-4.05,9.54,-2.99,0,0,0,0,0,0,1
-3.56,9.11,-2.07,0,0,0,0,0,0,1
-3.01,7.99,-2.9,0,0,0,0,0,0,1
-2.68,7.2,-2.29,0,0,0,0,0,0,1
-2.94,6.95,-2.88,0,0,0,0,0,0,1
-3.07,6.62,-3.35,0,0,0,0,0,0,1
-3.31,6.53,-2.85,0,0,0,0,0,0,1
-3.35,6.25,-2.61,0,0,0,0,0,0,1
-3.46,6.16,-2.42,0,0,0,0,0,0,1
-3.4,6.21,-2.66,0,0,0,0,0,0,1
-3.37,6.18,-2.98,0,0,1,0,0,0,0
-3.33,6.15,-2.44,0,0,1,0,0,0,0
-3.36,6.02,-1.8,0,0,1,0,0,0,0
-3.5,5.89,-2.14,0,0,1,0,0,0,0
-3.66,6.09,-1.96,0,0,1,0,0,0,0
-3.57,6.1,-2.46,0,0,1,0,0,0,0
-3.45,5.92,-3.05,0,0,1,0,0,0,0
-3.54,5.53,-3.02,0,0,1,0,0,0,0
-3.61,5.26,-3.37,0,0,1,0,0,0,0
-3.79,5.2,-3.1,0,0,1,0,0,0,0
-3.9,5.11,-3.07,0,0,1,0,0,0,0
-3.94,5.1,-3.65,0,0,1,0,0,0,0
-4.31,5.25,-2.93,0,0,1,0,0,0,0
-4.38,5.44,-2.54,0,0,1,0,0,0,0
-4.29,5.38,-2.32,0,0,1,0,0,0,0
-3.84,5.23,-2.29,0,0,1,0,0,0,0
-3.66,5.15,-2.47,0,0,1,0,0,0,0
-3.73,5.17,-2.22,0,0,1,0,0,0,0
-3.72,5.14,-1.89,0,1,1,0,0,0,0
-3.78,5.15,-0.96,0,0,1,0,0,0,0
-3.7,5.03,-0.98,0,0,1,0,0,0,0
-3.76,5.02,-1.38,0,0,1,0,0,0,0
-3.73,5.02,-1.2,0,0,1,0,0,0,0
-3.7,5.09,-1.74,0,0,1,0,0,0,0
-3.75,4.96,-2.24,0,0,1,0,0,0,0
-3.93,4.79,-2.24,0,0,1,0,0,0,0
-4.0,4.7,-2.52,0,0,1,0,0,0,0
-3.99,4.64,-2.06,0,0,1,0,0,0,0
-3.85,4.6,-2.48,0,0,1,0,0,0,0
-4.0,4.78,-2.98,0,0,1,0,0,0,0
-3.87,4.84,-2.29,0,0,1,0,0,0,0
-3.97,4.76,-2.42,0,0,1,0,0,0,0
-3.75,4.57,-2.23,0,0,1,0,0,0,0
-3.74,4.46,-2.42,0,0,1,0,0,0,0
-3.6,4.53,-2.19,0,0,1,0,0,0,0
-3.76,4.52,-1.38,0,0,1,0,0,0,0
-3.74,4.55,-2.43,0,0,1,0,0,0,0
-3.89,4.52,-2.44,0,1,1,0,0,0,0
-4.03,4.48,-2.18,0,0,1,0,0,0,0
-4.02,4.49,-2.4,0,0,1,0,0,0,0
-3.85,4.43,-1.59,0,0,1,0,0,0,0
-3.68,4.31,-2.1,0,0,1,0,0,0,0
-3.68,4.17,-2.06,0,0,1,0,0,0,0
-3.84,4.17,-2.16,0,0,1,0,0,0,0
-3.96,4.19,-1.79,0,0,1,0,0,0,0
-3.94,4.17,-2.01,0,0,1,0,0,0,0
-3.85,4.08,-1.78,0,0,1,0,0,0,0
-4.15,4.3,-2.4,0,0,1,0,0,0,0
-4.04,4.41,-2.29,0,0,1,0,0,0,0
-3.91,4.38,-2.21,0,0,1,0,0,0,0
-3.39,4.1,-0.97,0,0,1,0,0,0,0
-3.38,3.96,-1.17,0,0,1,0,0,0,0
-3.6,4.03,-2.21,0,0,1,0,0,0,0
-4.16,4.18,-1.93,0,0,1,0,0,0,0
-3.73,4.26,-0.42,0,0,1,0,0,0,0
-3.61,4.26,-1.15,0,0,1,0,0,0,0
-3.43,4.52,-1.57,0,0,1,0,0,0,0
-3.5,4.61,-2.81,0,0,1,0,0,0,0
-3.39,4.7,-2.78,0,0,1,0,0,0,0
-3.48,4.3,-2.85,0,0,1,0,0,0,0
-3.17,4.18,-1.83,0,0,1,0,0,0,0
-2.57,3.88,0.6,0,0,1,0,0,0,0
-2.74,3.86,0.9,0,0,1,0,0,0,0
-3.75,4.11,0.43,0,0,1,0,0,0,0
-4.51,4.65,0.25,0,1,1,0,0,0,0
-4.79,4.88,1.07,0,1,1,0,0,0,0
-5.22,5.21,2.16,0,1,1,0,0,0,0
-6.01,5.43,2.87,0,1,1,0,0,0,0
-6.53,5.23,3.73,0,1,1,0,0,0,0
-6.85,4.95,5.03,0,1,1,0,0,0,0
-6.54,5.11,6.16,0,1,1,0,0,0,0
-6.55,5.34,7.91,0,1,1,0,0,0,0
-6.19,5.3,10.1,0,1,1,0,0,0,0
-6.57,5.25,10.56,0,1,1,0,0,0,0
-6.85,5.42,11.81,0,1,1,0,0,0,0
-7.47,5.1,12.97,0,1,1,0,0,0,0
-7.81,4.03,13.19,0,1,1,0,0,0,0
-8.49,3.55,10.51,0,1,1,0,0,0,0
