roll,pitch,heading,in_motion,is_rotating,Computer,Pillow,Plant,Hat,Nothing
-4.85,-0.14,-2.72,0,0,0,0,0,0,1
-5.11,-0.12,-3.33,0,0,0,0,0,0,1
-5.1,-0.18,-2.7,0,0,0,0,0,0,1
-4.95,-0.29,-1.99,0,0,0,0,0,0,1
-4.97,-0.35,-1.79,0,0,0,0,0,0,1
-5.05,-0.29,-2.96,0,0,0,0,0,0,1
-4.92,-0.3,-3.48,0,0,0,0,0,0,1
-4.73,-0.29,-3.63,0,0,0,0,0,0,1
-4.85,-0.28,-3.45,0,0,0,0,0,0,1
-5.13,-0.36,-3.57,0,0,0,0,0,0,1
-4.91,-0.44,-3.32,0,0,0,0,0,0,1
-4.77,-0.48,-2.92,0,0,0,0,0,0,1
-4.76,-0.37,-2.5,0,0,0,0,0,0,1
-5.07,-0.18,-2.77,0,0,0,0,0,0,1
-5.03,0.02,-3.75,0,0,0,0,0,0,1
-5.08,0.05,-3.15,0,0,0,0,0,0,1
-5.13,-0.01,-2.7,0,0,0,0,0,0,1
-5.17,-0.05,-3.34,0,0,0,0,0,0,1
-5.11,-0.07,-3.91,0,0,0,0,0,0,1
-5.11,-0.04,-2.71,0,0,0,0,0,0,1
-5.12,-0.09,-2.62,0,0,0,0,0,0,1
-5.2,-0.13,-3.05,0,0,0,0,0,0,1
-5.13,-0.17,-2.63,0,0,0,0,0,0,1
-4.83,0.01,-2.72,0,1,0,0,0,0,1
-4.63,0.45,-2.58,0,0,0,0,0,0,1
-4.49,1.25,-2.53,0,0,0,0,0,0,1
-4.33,2.0,-2.56,0,0,0,0,0,0,1
-4.41,2.99,-4.62,0,0,0,0,0,0,1
-4.47,4.37,-5.35,0,0,0,0,0,0,1
-4.48,5.4,-5.09,0,0,0,0,0,0,1
-4.28,6.24,-5.25,0,1,1,0,0,0,0
-3.88,6.73,-5.38,0,0,1,0,0,0,0
-3.27,7.02,-5.62,0,1,1,0,0,0,0
-2.72,6.79,-5.54,0,0,1,0,0,0,0
-2.35,6.41,-5.61,0,1,1,0,0,0,0
-2.28,6.12,-5.3,0,1,1,0,0,0,0
-2.15,5.92,-5.32,0,1,1,0,0,0,0
-2.15,5.73,-5.76,0,0,1,0,0,0,0
-2.15,5.6,-5.09,0,0,1,0,0,0,0
-2.16,5.51,-5.14,0,1,1,0,0,0,0
-2.17,5.36,-6.31,0,0,1,0,0,0,0
-2.09,5.19,-5.93,0,0,1,0,0,0,0
-2.03,5.13,-5.68,0,1,1,0,0,0,0
-1.97,5.11,-5.56,0,1,1,0,0,0,0
-2.07,5.0,-5.46,0,1,1,0,0,0,0
-2.16,4.55,-5.58,0,0,1,0,0,0,0
-2.59,4.12,-5.79,0,1,1,0,0,0,0
-2.96,3.8,-6.48,0,1,1,0,0,0,0
-2.39,3.16,-5.84,0,0,1,0,0,0,0
-1.66,3.7,-5.79,0,1,1,0,0,0,0
-2.18,5.06,-5.4,0,1,1,0,0,0,0
-3.87,5.97,-5.37,0,1,1,0,0,0,0
-5.12,6.44,-4.54,0,0,1,0,0,0,0
-5.34,6.49,-4.18,0,1,1,0,0,0,0
-5.32,6.68,-4.94,0,0,1,0,0,0,0
-5.08,6.83,-4.52,0,0,1,0,0,0,0
-4.92,7.09,-4.12,0,0,1,0,0,0,0
-4.88,6.91,-4.59,0,1,1,0,0,0,0
-4.69,5.85,-4.76,0,0,1,0,0,0,0
-4.32,4.99,-4.34,0,0,1,0,0,0,0
-4.68,4.6,-5.66,0,0,1,0,0,0,0
-4.87,4.26,-7.09,0,0,1,0,0,0,0
-4.58,3.51,-5.51,0,0,1,0,0,0,0
-4.45,3.23,-4.61,0,0,1,0,0,0,0
-4.93,3.2,-4.32,0,0,1,0,0,0,0
-4.77,3.23,-3.92,0,0,1,0,0,0,0
-3.57,3.78,-3.92,0,0,1,0,0,0,0
-2.03,4.45,-2.75,0,0,1,0,0,0,0
-1.2,5.31,-1.86,0,1,1,0,0,0,0
-1.66,6.31,-3.35,0,0,1,0,0,0,0
-2.88,6.63,-4.1,0,1,1,0,0,0,0
-3.69,6.37,-5.08,0,0,1,0,0,0,0
-3.64,5.71,-5.36,0,1,1,0,0,0,0
-3.59,4.73,-3.36,0,0,1,0,0,0,0
-3.92,4.01,-3.49,0,0,1,0,0,0,0
-4.17,3.85,-3.97,0,0,1,0,0,0,0
-4.15,4.19,-3.88,0,1,1,0,0,0,0
-3.68,4.4,-3.76,0,1,1,0,0,0,0
-2.78,4.34,-4.11,0,1,1,0,0,0,0
-2.14,4.38,-3.88,0,1,1,0,0,0,0
-2.47,4.55,-2.91,0,0,1,0,0,0,0
-3.65,5.18,-3.16,0,0,1,0,0,0,0
-4.34,5.76,-3.94,0,0,1,0,0,0,0
-4.56,6.39,-4.91,0,0,1,0,0,0,0
-5.27,6.7,-6.64,0,0,1,0,0,0,0
-4.54,6.91,-6.29,0,0,1,0,0,0,0
-2.58,7.5,-6.45,0,0,1,0,0,0,0
-1.14,8.75,-5.86,0,0,1,0,0,0,0
-0.65,9.67,-5.91,0,0,1,0,0,0,0
-1.48,9.25,-5.6,0,0,1,0,0,0,0
-2.27,8.24,-6.18,0,1,1,0,0,0,0
-2.04,7.61,-4.69,0,0,1,0,0,0,0
-2.15,6.54,-4.86,0,0,1,0,0,0,0
-3.05,4.33,-4.64,0,0,1,0,0,0,0
-2.83,3.31,-6.72,0,0,1,0,0,0,0
-2.65,3.58,-6.13,0,0,1,0,0,0,0
-3.25,3.83,-6.51,0,1,1,0,0,0,0
-3.28,3.04,-5.48,0,0,1,0,0,0,0
-2.88,2.33,-6.15,0,1,1,0,0,0,0
-4.0,1.83,-6.3,0,1,1,0,0,0,0
-3.56,1.75,-5.69,0,1,1,0,0,0,0
-2.15,2.13,-4.65,0,0,1,0,0,0,0
-0.39,2.9,-2.98,0,0,1,0,0,0,0
0.24,3.66,-1.8,0,0,1,0,0,0,0
-0.8,4.07,-1.66,0,0,1,0,0,0,0
-2.8,4.11,-3.65,0,0,1,0,0,0,0
-4.17,4.28,-4.63,0,0,1,0,0,0,0
-4.3,4.38,-4.81,0,0,1,0,0,0,0
-2.97,4.23,-4.02,0,0,1,0,0,0,0
-1.66,4.0,-2.7,0,0,1,0,0,0,0
-1.58,3.64,-2.39,0,0,1,0,0,0,0
-2.78,3.15,-2.7,0,0,1,0,0,0,0
-4.08,2.74,-4.32,0,0,1,0,0,0,0
-4.42,2.54,-4.87,0,0,1,0,0,0,0
-3.13,2.48,-4.48,0,0,1,0,0,0,0
-1.5,2.34,-3.61,0,1,1,0,0,0,0
-0.79,1.87,-2.78,0,1,1,0,0,0,0
-1.65,0.94,-3.17,0,1,1,0,0,0,0
-3.45,-0.18,-3.68,0,1,1,0,0,0,0
-5.17,-1.08,-4.45,0,1,1,0,0,0,0
-5.75,-1.63,-5.41,0,0,1,0,0,0,0
-5.35,-1.56,-6.04,0,0,1,0,0,0,0
-4.6,-0.99,-4.64,0,0,1,0,0,0,0
-3.85,-0.37,-4.37,0,0,1,0,0,0,0
-4.0,0.21,-4.01,0,0,1,0,0,0,0
-4.21,0.64,-4.72,0,0,1,0,0,0,0
-4.24,0.98,-4.71,0,1,1,0,0,0,0
-4.28,1.09,-4.16,0,0,1,0,0,0,0
-4.71,1.15,-4.24,0,0,1,0,0,0,0
-4.83,1.07,-4.42,0,1,1,0,0,0,0
-4.72,0.95,-4.51,0,1,1,0,0,0,0
-4.58,0.91,-4.98,0,0,1,0,0,0,0
-4.38,1.04,-5.03,0,0,1,0,0,0,0
-4.08,1.12,-4.83,0,0,1,0,0,0,0
-3.95,1.06,-3.44,0,0,1,0,0,0,0
-4.06,0.91,-3.26,0,1,1,0,0,0,0
-3.99,0.76,-4.59,0,0,1,0,0,0,0
-3.61,0.61,-4.71,0,0,1,0,0,0,0
-3.24,0.51,-3.29,0,0,1,0,0,0,0
-2.93,0.4,-3.55,0,0,1,0,0,0,0
-2.89,0.49,-4.0,0,0,1,0,0,0,0
-2.88,0.56,-3.83,0,0,1,0,0,0,0
-2.78,0.61,-3.96,0,0,1,0,0,0,0
-2.46,0.55,-4.25,0,0,1,0,0,0,0
-2.18,0.54,-3.87,0,0,1,0,0,0,0
-2.15,0.62,-3.69,0,0,1,0,0,0,0
-2.4,0.67,-3.83,0,0,1,0,0,0,0
-2.52,0.69,-3.81,0,0,1,0,0,0,0
-2.77,0.55,-3.67,0,0,1,0,0,0,0
-2.93,0.46,-3.69,0,0,1,0,0,0,0
-2.8,0.5,-4.26,0,0,1,0,0,0,0
-2.66,0.46,-4.4,0,0,1,0,0,0,0
-2.64,0.47,-4.09,0,1,1,0,0,0,0
-3.06,0.37,-4.52,0,0,1,0,0,0,0
-3.15,0.22,-4.85,0,0,1,0,0,0,0
-3.05,0.2,-4.87,0,0,1,0,0,0,0
-2.88,0.27,-4.05,0,0,1,0,0,0,0
-2.73,0.47,-3.95,0,0,1,0,0,0,0
-2.94,0.63,-4.46,0,0,1,0,0,0,0
-3.08,0.82,-3.81,0,0,1,0,0,0,0
-3.2,0.96,-4.02,0,0,1,0,0,0,0
-3.26,1.03,-4.27,0,0,1,0,0,0,0
-3.3,1.08,-4.53,0,0,1,0,0,0,0
-3.21,1.14,-4.1,0,0,1,0,0,0,0
-3.07,1.23,-4.74,0,0,1,0,0,0,0
-2.94,1.31,-3.66,0,0,1,0,0,0,0
-2.87,1.4,-3.38,0,0,1,0,0,0,0
-2.8,1.37,-3.77,0,0,1,0,0,0,0
-2.71,1.42,-4.2,0,0,1,0,0,0,0
-2.94,1.48,-4.5,0,0,1,0,0,0,0
-2.93,1.47,-4.14,0,0,1,0,0,0,0
-2.68,1.37,-4.9,0,0,1,0,0,0,0
-2.46,1.33,-4.82,0,0,1,0,0,0,0
-2.48,1.33,-4.77,0,0,1,0,0,0,0
-2.61,1.41,-3.93,0,0,1,0,0,0,0
-2.65,1.58,-4.78,0,0,1,0,0,0,0
-2.62,1.69,-4.82,0,0,1,0,0,0,0
-2.63,1.74,-4.02,0,0,1,0,0,0,0
-2.62,1.72,-3.56,0,0,1,0,0,0,0
-2.49,1.75,-4.94,0,0,1,0,0,0,0
-2.43,1.67,-3.38,0,0,1,0,0,0,0
-2.52,1.61,-3.54,0,0,1,0,0,0,0
-2.63,1.61,-3.6,0,0,1,0,0,0,0
-2.66,1.68,-3.19,0,0,1,0,0,0,0
-2.64,1.76,-3.15,0,0,1,0,0,0,0
-2.58,1.84,-3.99,0,0,1,0,0,0,0
-2.42,1.85,-3.23,0,0,1,0,0,0,0
-2.64,1.91,-3.24,0,0,1,0,0,0,0
-2.7,1.9,-3.85,0,0,1,0,0,0,0
-2.39,1.84,-3.97,0,0,1,0,0,0,0
-2.28,1.76,-3.79,0,0,1,0,0,0,0
-2.48,1.62,-3.99,0,0,1,0,0,0,0
-2.49,1.52,-5.27,0,0,1,0,0,0,0
-2.43,1.39,-4.95,0,0,1,0,0,0,0
-2.39,1.47,-4.44,0,0,1,0,0,0,0
-2.29,1.95,-5.31,0,0,1,0,0,0,0
-2.19,2.42,-4.47,0,0,1,0,0,0,0
-2.61,2.81,-3.85,0,0,1,0,0,0,0
-2.87,3.42,-4.8,0,0,1,0,0,0,0
-2.57,3.88,-3.39,0,0,1,0,0,0,0
-1.68,4.02,-2.63,0,0,1,0,0,0,0
-0.93,4.0,-1.81,0,0,1,0,0,0,0
-0.98,3.84,-2.51,0,0,1,0,0,0,0
-1.56,3.55,-3.75,0,0,1,0,0,0,0
-1.31,3.02,-3.9,0,1,1,0,0,0,0
0.09,2.68,-2.56,0,0,1,0,0,0,0
-0.32,2.07,-3.58,0,0,1,0,0,0,0
-1.03,1.32,-4.34,0,0,1,0,0,0,0
-1.26,0.67,-5.42,0,0,1,0,0,0,0
-1.85,0.16,-5.96,0,0,1,0,0,0,0
-2.66,0.15,-6.68,0,0,1,0,0,0,0
-1.81,0.46,-7.18,0,1,1,0,0,0,0
-0.1,0.88,-5.9,0,0,1,0,0,0,0
1.25,1.48,-4.35,0,0,1,0,0,0,0
1.78,1.81,-3.61,0,0,1,0,0,0,0
1.28,1.93,-4.87,0,0,1,0,0,0,0
1.09,2.33,-5.06,0,0,1,0,0,0,0
2.93,2.79,-4.74,0,0,1,0,0,0,0
4.39,2.95,-3.5,0,0,1,0,0,0,0
5.49,3.07,-4.1,0,0,1,0,0,0,0
5.95,3.24,-3.87,0,0,1,0,0,0,0
