roll,pitch,heading,in_motion,is_rotating,Computer,Pillow,Plant,Hat,Nothing
-1.63,-7.59,12.12,0,1,0,0,0,0,1
-1.85,-7.69,9.88,0,1,0,0,0,0,1
-2.17,-7.64,6.72,0,1,0,0,0,0,1
-1.82,-6.8,5.42,0,1,0,0,0,0,1
-1.66,-6.87,4.46,0,1,0,0,0,0,1
-1.72,-8.09,3.42,0,1,0,0,0,0,1
-3.13,-9.3,0.16,0,1,0,0,0,0,1
-3.08,-9.3,-2.11,0,1,0,0,0,0,1
-1.7,-8.22,-2.49,0,1,0,0,0,0,1
0.3,-7.24,-2.55,0,1,0,0,0,0,1
2.09,-6.92,-2.12,0,1,0,0,0,0,1
2.07,-6.97,-1.63,0,1,0,0,0,0,1
0.75,-7.51,-3.02,0,1,0,0,0,0,1
0.5,-8.04,-4.58,0,1,0,0,0,0,1
0.94,-7.74,-5.35,0,1,0,0,0,0,1
-0.08,-7.16,-5.15,0,1,0,0,0,0,1
-1.51,-7.03,-5.69,0,1,0,0,0,0,1
-3.15,-7.4,-6.73,0,1,0,0,0,0,1
-3.77,-7.72,-8.14,0,1,0,0,0,0,1
-3.54,-7.04,-8.47,0,1,0,0,0,0,1
-2.61,-5.97,-8.0,0,1,0,0,0,0,1
-1.93,-5.59,-7.21,0,1,0,0,0,0,1
-1.68,-6.41,-7.09,0,1,0,0,0,0,1
-1.34,-7.5,-7.51,0,1,0,0,0,0,1
-1.23,-7.79,-7.65,0,1,0,0,0,0,1
-1.14,-7.41,-7.65,0,1,0,0,0,0,1
-0.8,-7.24,-7.18,0,1,0,0,0,0,1
-0.35,-7.43,-7.26,0,1,0,0,0,0,1
-0.41,-7.79,-7.51,0,1,0,0,0,0,1
-1.01,-8.14,-7.43,0,1,0,0,0,0,1
-1.48,-8.47,-7.49,0,1,1,0,0,0,0
-1.43,-8.39,-7.24,0,1,1,0,0,0,0
-1.53,-7.97,-6.84,0,1,1,0,0,0,0
-1.91,-7.72,-6.79,0,1,1,0,0,0,0
-1.82,-7.58,-7.0,0,1,1,0,0,0,0
-1.67,-7.4,-6.57,0,1,1,0,0,0,0
-2.0,-7.34,-6.77,0,1,1,0,0,0,0
-2.21,-7.39,-6.8,0,1,1,0,0,0,0
-2.32,-7.62,-6.59,0,1,1,0,0,0,0
-2.41,-7.78,-7.09,0,1,1,0,0,0,0
-2.46,-7.87,-7.05,0,1,1,0,0,0,0
-2.32,-7.95,-6.88,0,1,1,0,0,0,0
-2.02,-8.11,-7.12,0,1,1,0,0,0,0
-1.98,-8.17,-6.9,0,1,1,0,0,0,0
-2.12,-8.07,-6.75,0,1,1,0,0,0,0
-2.26,-8.1,-5.09,0,0,1,0,0,0,0
-2.25,-8.03,-5.12,0,0,1,0,0,0,0
-2.34,-8.06,-4.74,0,0,1,0,0,0,0
-2.34,-8.2,-4.5,0,0,1,0,0,0,0
-2.01,-8.28,-5.11,0,0,1,0,0,0,0
-1.71,-8.26,-4.8,0,1,1,0,0,0,0
-1.58,-8.23,-3.59,0,0,1,0,0,0,0
-1.87,-7.82,-4.19,0,0,1,0,0,0,0
-2.04,-7.5,-4.78,0,0,1,0,0,0,0
-2.31,-7.07,-4.43,0,0,1,0,0,0,0
-2.04,-6.83,-2.92,0,0,1,0,0,0,0
-2.04,-6.73,-4.06,0,0,1,0,0,0,0
-2.06,-6.26,-3.82,0,0,1,0,0,0,0
-1.5,-5.5,-6.09,0,0,1,0,0,0,0
-0.87,-4.04,-7.55,0,0,1,0,0,0,0
-0.16,-2.41,-5.73,0,0,1,0,0,0,0
0.43,-0.75,-4.54,0,0,1,0,0,0,0
0.38,0.45,-6.04,0,0,1,0,0,0,0
0.04,1.88,-6.5,0,0,1,0,0,0,0
-0.16,3.39,-7.33,0,1,1,0,0,0,0
-0.17,4.2,-7.94,0,0,1,0,0,0,0
0.14,4.66,-6.51,0,0,1,0,0,0,0
0.11,4.59,-5.59,0,1,1,0,0,0,0
0.31,4.17,-6.07,0,1,1,0,0,0,0
-0.01,3.8,-7.36,0,0,1,0,0,0,0
-0.2,3.63,-7.6,0,0,1,0,0,0,0
-0.6,3.33,-8.15,0,1,1,0,0,0,0
-0.8,3.24,-7.57,0,0,1,0,0,0,0
-1.2,3.04,-8.22,0,1,1,0,0,0,0
-1.19,2.64,-8.43,0,0,1,0,0,0,0
-0.53,5.06,-11.51,0,1,1,0,0,0,0
0.65,12.53,-7.64,0,0,1,0,0,0,0
-0.69,7.85,-8.31,0,1,1,0,0,0,0
-0.96,1.29,-7.11,0,0,1,0,0,0,0
-0.31,-5.12,-7.63,0,1,1,0,0,0,0
-1.65,-9.25,-6.43,0,1,1,0,0,0,0
-2.8,-12.34,-7.65,0,0,1,0,0,0,0
-2.45,-9.7,-9.34,0,0,1,0,0,0,0
