roll,pitch,heading,in_motion,is_rotating,Computer,Pillow,Plant,Hat,Nothing
-1.2,-4.06,-0.75,0,1,0,0,0,0,1
-1.12,-4.06,-1.65,0,0,0,0,0,0,1
-1.15,-3.91,-2.22,0,0,0,0,0,0,1
-1.17,-3.87,-1.97,0,0,0,0,0,0,1
-1.16,-3.89,-1.58,0,1,0,0,0,0,1
-1.06,-4.01,-0.74,0,0,0,0,0,0,1
-1.22,-4.06,-0.87,0,0,0,0,0,0,1
-1.24,-3.91,-1.22,0,0,0,0,0,0,1
-1.3,-3.75,-2.52,0,0,0,0,0,0,1
-1.29,-3.73,-1.76,0,0,0,0,0,0,1
-1.22,-3.82,-1.4,0,0,0,0,0,0,1
-1.31,-3.91,-1.39,0,0,0,0,0,0,1
-1.38,-3.84,-0.44,0,0,0,0,0,0,1
-1.22,-3.8,-0.35,0,1,0,0,0,0,1
-1.13,-3.82,-0.73,0,0,0,0,0,0,1
-1.24,-3.78,-1.47,0,0,0,0,0,0,1
-1.23,-3.71,-0.51,0,0,0,0,0,0,1
-1.26,-3.64,-0.46,0,0,0,0,0,0,1
-1.26,-3.69,-1.48,0,0,0,0,0,0,1
-1.15,-3.88,-0.7,0,0,0,0,0,0,1
-0.95,-4.01,-0.49,0,0,0,0,0,0,1
-1.33,-3.9,-1.05,0,0,0,0,0,0,1
-1.3,-3.44,-1.64,0,0,0,0,0,0,1
-1.21,-2.1,-1.97,0,0,0,0,0,0,1
-1.36,0.1,-3.73,0,0,0,0,0,0,1
-1.18,2.31,-3.79,0,0,0,0,0,0,1
-1.09,3.94,-4.01,0,0,0,0,0,0,1
-0.9,5.27,-3.08,0,0,0,0,0,0,1
-0.69,6.06,-2.49,0,1,0,0,0,0,1
-0.66,6.48,-2.62,0,0,0,0,0,0,1
-0.67,6.28,-1.92,0,0,1,0,0,0,0
-0.55,5.82,-0.84,0,0,1,0,0,0,0
-0.6,5.68,-1.49,0,0,1,0,0,0,0
-0.72,5.72,-2.51,0,0,1,0,0,0,0
-0.97,5.68,-2.48,0,0,1,0,0,0,0
-0.85,5.41,-2.69,0,0,1,0,0,0,0
-0.7,5.08,-2.94,0,0,1,0,0,0,0
-0.55,4.86,-2.2,0,0,1,0,0,0,0
-0.48,4.84,-1.52,0,0,1,0,0,0,0
-0.64,4.89,-1.54,0,0,1,0,0,0,0
-0.6,4.96,-1.81,0,0,1,0,0,0,0
-0.58,5.0,-2.44,0,0,1,0,0,0,0
-0.48,4.99,-2.06,0,0,1,0,0,0,0
-0.47,4.97,-1.98,0,0,1,0,0,0,0
-0.48,5.0,-2.15,0,0,1,0,0,0,0
-0.33,5.02,-2.76,0,0,1,0,0,0,0
-0.41,4.86,-2.12,0,0,1,0,0,0,0
-0.67,4.64,-2.1,0,1,1,0,0,0,0
-0.73,4.46,-3.2,0,0,1,0,0,0,0
-0.78,4.48,-2.41,0,0,1,0,0,0,0
-0.56,4.33,-2.21,0,0,1,0,0,0,0
-0.5,4.22,-1.99,0,0,1,0,0,0,0
-0.47,4.1,-2.71,0,0,1,0,0,0,0
-0.61,4.15,-2.7,0,0,1,0,0,0,0
-0.72,4.31,-2.36,0,0,1,0,0,0,0
-0.65,4.32,-2.29,0,0,1,0,0,0,0
-0.65,4.31,-1.76,0,0,1,0,0,0,0
-0.64,4.21,-1.99,0,0,1,0,0,0,0
-0.65,4.18,-2.36,0,0,1,0,0,0,0
-0.58,4.18,-2.2,0,0,1,0,0,0,0
-0.62,4.17,-2.24,0,0,1,0,0,0,0
-0.65,4.06,-2.24,0,0,1,0,0,0,0
-0.49,3.76,-1.52,0,0,1,0,0,0,0
0.19,3.95,-0.85,0,0,1,0,0,0,0
0.0,4.48,-0.14,0,0,1,0,0,0,0
0.53,5.62,-1.17,0,0,1,0,0,0,0
-2.48,5.34,-4.19,0,0,1,0,0,0,0
-3.62,2.51,-4.23,0,0,1,0,0,0,0
-1.53,1.54,-4.0,0,0,1,0,0,0,0
0.75,2.48,-2.73,0,0,1,0,0,0,0
0.59,4.1,0.03,0,0,1,0,0,0,0
-1.52,4.44,-0.53,0,0,1,0,0,0,0
-2.86,4.04,-1.22,0,0,1,0,0,0,0
-3.86,3.32,-3.51,0,0,1,0,0,0,0
-2.48,2.96,-3.74,0,0,1,0,0,0,0
-2.29,3.24,-2.73,0,0,1,0,0,0,0
-2.68,3.5,-3.06,0,0,1,0,0,0,0
-2.61,3.53,-2.79,0,0,1,0,0,0,0
-0.89,3.88,-2.06,0,0,1,0,0,0,0
0.48,4.16,-1.03,0,0,1,0,0,0,0
-0.41,4.29,-1.76,0,0,1,0,0,0,0
-2.35,3.92,-2.69,0,0,1,0,0,0,0
-3.56,4.03,-2.65,0,0,1,0,0,0,0
-3.94,4.13,-3.56,0,0,1,0,0,0,0
-3.26,3.56,-3.58,0,0,1,0,0,0,0
-1.8,3.38,-2.17,0,0,1,0,0,0,0
-1.24,3.3,-1.12,0,0,1,0,0,0,0
-0.11,3.77,-0.12,0,0,1,0,0,0,0
0.04,4.35,-0.66,0,0,1,0,0,0,0
-0.43,4.35,-1.62,0,0,1,0,0,0,0
-0.77,4.2,-2.55,0,0,1,0,0,0,0
-1.04,4.4,-3.79,0,0,1,0,0,0,0
-0.62,4.41,-2.66,0,0,1,0,0,0,0
0.2,4.22,-2.25,0,0,1,0,0,0,0
0.72,4.34,-1.62,0,0,1,0,0,0,0
-0.32,4.49,-1.08,0,0,1,0,0,0,0
-0.73,4.42,-2.07,0,0,1,0,0,0,0
0.02,3.97,-1.8,0,1,1,0,0,0,0
-0.68,3.35,-0.35,0,0,1,0,0,0,0
-1.61,2.95,-1.99,0,0,1,0,0,0,0
-1.72,3.18,-1.94,0,0,1,0,0,0,0
-1.46,3.22,-1.71,0,0,1,0,0,0,0
-0.74,3.03,-2.02,0,0,1,0,0,0,0
-0.18,3.24,-2.33,0,0,1,0,0,0,0
-0.42,3.4,-2.98,0,0,1,0,0,0,0
-0.93,3.67,-2.74,0,0,1,0,0,0,0
-0.75,3.91,-3.43,0,0,1,0,0,0,0
-0.17,3.41,-1.94,0,0,1,0,0,0,0
1.3,3.15,-0.47,0,0,1,0,0,0,0
1.42,3.28,-0.41,0,0,1,0,0,0,0
0.38,3.58,-2.59,0,0,1,0,0,0,0
-0.7,3.54,-4.07,0,0,1,0,0,0,0
-1.33,3.0,-3.51,0,0,1,0,0,0,0
-1.12,2.37,-2.63,0,0,1,0,0,0,0
-1.41,2.12,-0.86,0,0,1,0,0,0,0
-3.53,2.45,-3.24,0,0,1,0,0,0,0
-2.81,3.5,-3.55,0,0,1,0,0,0,0
-1.19,4.59,-0.31,0,0,1,0,0,0,0
-0.53,4.74,0.63,0,0,1,0,0,0,0
-1.0,4.33,0.71,0,0,1,0,0,0,0
-1.93,3.45,-0.54,0,0,1,0,0,0,0
-2.79,2.59,-1.33,0,0,1,0,0,0,0
-2.9,2.02,-1.69,0,1,1,0,0,0,0
-2.49,2.02,-1.27,0,0,1,0,0,0,0
-1.82,2.63,-1.34,0,0,1,0,0,0,0
-1.75,3.28,-1.85,0,0,1,0,0,0,0
-2.0,3.13,-2.78,0,0,1,0,0,0,0
-1.92,2.27,-2.62,0,0,1,0,0,0,0
-1.51,2.2,-3.01,0,1,1,0,0,0,0
-1.38,2.89,-2.23,0,0,1,0,0,0,0
-1.62,3.69,-1.56,0,0,1,0,0,0,0
-1.25,4.21,-1.9,0,0,1,0,0,0,0
-0.7,4.36,-2.96,0,0,1,0,0,0,0
-0.73,3.82,-2.47,0,0,1,0,0,0,0
-1.06,3.26,-2.87,0,0,1,0,0,0,0
-1.15,2.73,-2.71,0,0,1,0,0,0,0
-0.79,2.61,-3.29,0,0,1,0,0,0,0
-0.67,2.5,-3.17,0,0,1,0,0,0,0
-0.74,1.49,-2.86,0,0,1,0,0,0,0
-0.26,0.88,-3.27,0,1,1,0,0,0,0
0.56,1.71,-3.48,0,0,1,0,0,0,0
0.53,3.11,-2.41,0,0,1,0,0,0,0
-0.35,4.34,-2.28,0,0,1,0,0,0,0
-1.05,5.16,-3.47,0,0,1,0,0,0,0
-1.03,5.21,-2.18,0,0,1,0,0,0,0
-0.28,5.27,-1.73,0,0,1,0,0,0,0
-0.03,5.3,-1.7,0,0,1,0,0,0,0
0.24,4.63,-2.52,0,0,1,0,0,0,0
-1.24,3.01,-3.59,0,1,1,0,0,0,0
-1.81,2.06,-2.58,0,0,1,0,0,0,0
-1.66,1.71,-3.48,0,1,1,0,0,0,0
