roll,pitch,heading,in_motion,is_rotating,Computer,Pillow,Plant,Hat,Nothing
-0.59,0.65,-5.48,0,0,0,0,0,0,1
-0.97,0.55,-5.39,0,0,0,0,0,0,1
-1.13,0.63,-6.86,0,0,0,0,0,0,1
-0.85,0.68,-6.37,0,0,0,0,0,0,1
-0.49,0.66,-5.45,0,0,0,0,0,0,1
-0.39,0.67,-5.93,0,0,0,0,0,0,1
-0.94,0.86,-5.38,0,0,0,0,0,0,1
-1.31,0.97,-6.01,0,0,0,0,0,0,1
-1.22,0.91,-5.88,0,0,0,0,0,0,1
-0.96,0.77,-5.54,0,0,0,0,0,0,1
-0.72,0.62,-5.35,0,0,0,0,0,0,1
-0.89,0.52,-5.4,0,0,0,0,0,0,1
-0.93,0.44,-5.92,0,0,0,0,0,0,1
-0.87,0.39,-5.1,0,0,0,0,0,0,1
-0.82,0.35,-5.21,0,0,0,0,0,0,1
-0.73,0.29,-4.73,0,0,0,0,0,0,1
-0.77,0.45,-4.84,0,0,0,0,0,0,1
-0.48,0.45,-5.71,0,0,0,0,0,0,1
-0.68,0.36,-5.21,0,0,0,0,0,0,1
-0.54,0.38,-5.12,0,0,0,0,0,0,1
-0.5,0.53,-5.86,0,0,0,0,0,0,1
-0.68,0.73,-6.03,0,0,0,0,0,0,1
-0.67,0.86,-5.71,0,0,0,0,0,0,1
-0.69,0.87,-5.73,0,0,0,0,0,0,1
-0.55,0.81,-6.53,0,0,0,0,0,0,1
-0.63,0.76,-6.97,0,0,0,0,0,0,1
-0.64,0.72,-7.11,0,0,0,0,0,0,1
-0.46,0.72,-7.5,0,0,0,0,0,0,1
-0.44,0.68,-7.19,0,0,0,0,0,0,1
-0.51,0.63,-6.2,0,0,0,0,0,0,1
-0.61,0.76,-6.43,0,0,1,0,0,0,0
-0.69,0.76,-6.44,0,0,1,0,0,0,0
-0.95,0.67,-6.56,0,0,1,0,0,0,0
-0.5,0.63,-6.05,0,0,1,0,0,0,0
-0.39,1.0,-7.23,0,0,1,0,0,0,0
-0.17,2.47,-7.43,0,0,1,0,0,0,0
0.0,3.69,-7.69,0,0,1,0,0,0,0
0.06,4.41,-6.98,0,0,1,0,0,0,0
